timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,motor_drv_mode
1755031944113870266,1.56615,0,0.0191618,0.00279628,-1.53436,-1.54657,10
1755031944138807942,1.56615,0,0.0191618,0.00279628,-1.53436,-1.54657,10
1755031944163879062,1.56615,0,0.0191618,0.00803507,-1.53871,-1.54657,10
1755031944188812479,1.56615,0,0.0191938,0.00803507,-1.53871,-1.54657,10
1755031944213865284,1.56615,0,0.0191938,0.00803507,-1.53871,-1.54657,10
1755031944238963460,1.56615,0,0.0191938,0.00803507,-1.53871,-1.54657,10
1755031944263786765,1.56615,0,0.0192095,-0.000385777,-1.50766,-1.54657,10
1755031944288870941,1.56615,0,0.0192095,-0.000385777,-1.50766,-1.54657,10
1755031944313987191,1.56615,0,0.0192095,-0.000385777,-1.50766,-1.54657,10
1755031944338813848,1.56615,0,0.0192095,-0.000385777,-1.50766,-1.54657,10
1755031944363823098,1.56615,0,0.0192095,0.000964544,-1.51855,-1.54657,10
1755031944388974441,1.56615,0,0.0192734,0.000964544,-1.51855,-1.54657,10
1755031944413836783,1.56615,0,0.0192734,0.000964544,-1.51855,-1.54657,10
1755031944438860996,1.56615,0,0.0192734,0.000964544,-1.51855,-1.54657,10
1755031944464273358,1.56615,0,0.0192734,-0.00173126,-1.56103,-1.54657,10
1755031944490089240,1.56615,0,0.0192095,-0.00173126,-1.56103,-1.54657,10
1755031944514662044,1.56615,0,0.0192095,-0.00173126,-1.56103,-1.54657,10
1755031944538932403,1.56615,0,0.0192095,-0.00173126,-1.56103,-1.54657,10
1755031944564064264,1.56615,0,0.0192095,-0.00939974,-1.56105,-1.54657,10
1755031944589072477,1.56615,0,0.0191938,-0.00939974,-1.56105,-1.54657,10
1755031944614059172,1.56615,0,0.0191938,-0.00939974,-1.56105,-1.54657,10
1755031944638830865,1.56615,0,0.0191938,-0.00939974,-1.56105,-1.54657,10
1755031944663929578,1.56615,0,0.0191299,-0.00480981,-1.58382,-1.54657,10
1755031944688799772,1.56615,0,0.0191299,-0.00480981,-1.58382,-1.54657,10
1755031944718244552,1.56615,0,0.0191299,-0.00480981,-1.58382,-1.54657,10
1755031944740160868,1.56615,0,0.0191299,-0.00480981,-1.58382,-1.54657,10
1755031944763847059,1.56615,0,0.0191137,0.00483164,-1.59917,-1.54657,10
1755031944788818050,1.56615,0,0.0191137,0.00483164,-1.59917,-1.54657,10
1755031944813839652,1.56615,0,0.0191137,0.00483164,-1.59917,-1.54657,10
1755031944838795790,1.56615,0,0.0191137,0.00483164,-1.59917,-1.54657,10
1755031944863796614,1.56615,0,0.0191618,0.00210627,-1.56106,-1.54657,10
1755031944888767531,1.56615,0,0.0191618,0.00210627,-1.56106,-1.54657,10
1755031944913915448,1.56615,0,0.0191618,0.00210627,-1.56106,-1.54657,10
