timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,mot_drv_mode,encoder_steps
1771883069562017704,3.17658,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883069572075657,3.17658,0,0.314159,0,nan,nan,10,-2
1771883069581990582,3.17658,0,0.314159,0,nan,nan,10,-2
1771883069591927672,3.17658,0,0.314159,0,nan,nan,10,-2
1771883069602033123,3.17658,0,0.314159,0,nan,nan,10,-2
1771883069611928993,3.17658,0,0.314159,0,nan,nan,10,-2
1771883069621919598,3.17658,0,0.314159,0,nan,nan,10,-2
1771883069631974163,3.17658,0,0.314159,0,nan,nan,10,-2
1771883069641951566,3.17658,0,0.314159,0,nan,nan,10,-2
1771883069651934838,3.17658,0,0.314159,0,nan,nan,10,-2
1771883069661892594,3.17658,0,0.314159,0,nan,nan,10,-2
1771883069671905698,3.17658,0,0.314159,0,nan,nan,10,-2
1771883069682143993,3.17658,0,0.314159,0,nan,nan,10,-2
1771883069692039493,3.1767,0,0.314159,0.314159,nan,nan,10,-2
1771883069702027469,3.1767,0,0.314159,0,nan,nan,10,-2
1771883069712239932,3.1767,0,0.314159,0,nan,nan,10,-2
1771883069722367067,3.1767,0,0.314159,0,nan,nan,10,-2
1771883069732215588,3.1767,0,0.314159,0,nan,nan,10,-2
1771883069742432273,3.1767,0,0.314159,0,nan,nan,10,-2
1771883069752441026,3.1767,0,0.314159,0,nan,nan,10,-2
1771883069762353951,3.1767,0,0.314159,0,nan,nan,10,-2
1771883069772458790,3.1767,0,0.314159,0,nan,nan,10,-2
1771883069782378455,3.1767,0,0.314159,0,nan,nan,10,-2
1771883069792276714,3.1767,0,0.314159,0,nan,nan,10,-2
1771883069802315113,3.1767,0,0.314159,0,nan,-2,10,-2
1771883069812220057,3.1767,3.1767,0.314159,0,nan,nan,10,-2
1771883069822456315,3.1767,0,0.314159,0,nan,nan,10,-2
1771883069832298485,3.1767,0,0.314159,0,nan,nan,10,-2
1771883069842424008,3.17682,0,0.314159,0,nan,nan,10,-2
1771883069852523756,3.17682,0,0.314159,0,nan,nan,10,-2
1771883069862503269,3.17682,0,0.314159,0,nan,nan,10,-2
1771883069872234927,3.17682,0,0.314159,0,nan,nan,10,-2
